tracking_id	female_flower_early_0	female_flower_early_3	female_flower_early_1	female_flower_early_2	female_flower_late_1	female_flower_late_0	male_flower_0	male_flower_1	male_flower_3	male_flower_2	male_flower_4	male_flower_6	male_flower_5	root_0	root_1	root_2	root_3	vegetative_0	vegetative_1	vegetative_5	vegetative_4	vegetative_3	vegetative_2
Zosma100g00360	0	0	0	0	0	0	1.64678	0	14.4848	6.5388	37.5529	15.6774	141.182	0	0	0	0	0	0	0	0	0	0
Zosma100g00370	19.0522	33.3781	21.479	29.8918	18.877	26.0062	8.23388	4.51782	11.5878	3.2694	1.63273	9.40644	3.40197	16.6267	29.8606	47.0034	35.8326	45.3484	31.8931	52.5633	33.314	50.8677	38.4722
Zosma101g00010	134.046	56.2158	109.49	105.921	50.0966	72.684	2488.28	2213.73	1697.61	1337.19	842.491	1912.64	1257.03	191.54	195.587	157.248	189.75	70.8569	118.295	44.4069	119.75	42.8885	117.68
Zosma101g00020	121.798	86.6661	121.54	102.672	76.96	56.6802	136.682	415.639	217.271	315.497	352.671	335.496	312.981	158.951	215.743	239.29	177.534	228.159	155.407	277.317	243.102	193.497	328.145
Zosma101g00040	1898.42	1123.73	1108	672.565	1073.08	1218.96	1804.87	5150.31	1066.08	1127.94	1524.97	1583.42	477.977	337.855	404.611	961.434	762.258	138.879	476.657	13.594	222.393	113.704	2.26307
Zosma101g00050	266.051	453.24	289.181	419.135	399.321	434.103	16.4678	4.51782	11.5878	39.2328	34.2874	15.6774	112.265	135.009	112.724	53.8403	28.5032	342.947	404.753	358.88	585.246	233.393	453.745
Zosma101g00060	31.3001	32.7926	38.767	33.7907	24.6853	34.6749	1.64678	9.03564	13.0363	11.4429	14.6946	3.13548	8.50493	20.6171	14.1838	16.2376	12.2157	15.5885	31.8931	19.9378	38.7162	14.9611	32.8145
Zosma101g00090	198.007	199.098	203.788	224.838	272.264	232.722	416.634	682.19	401.228	400.502	282.463	495.406	731.424	165.602	214.996	266.638	208.481	182.811	175.122	241.972	140.459	189.507	186.703
Zosma101g00100	14.9696	12.8828	11.0014	9.74732	9.43849	8.66873	19.7613	0	18.8302	27.7899	27.7565	25.0838	15.3089	7.31575	9.7047	6.83687	3.25751	19.8399	141.49	11.7814	345.745	15.9585	183.309
Zosma101g00110	1100.95	962.696	1216.44	1123.54	1108.66	1031.58	456.157	632.494	669.196	637.533	834.327	550.277	996.777	1475.12	1366.87	797.349	1271.24	626.375	977.67	504.789	786.03	683.223	509.191
Zosma101g00120	130.644	141.125	124.683	183.899	170.619	84.02	324.415	614.423	359.222	415.214	362.467	465.619	401.433	162.942	122.429	1.70922	50.4915	0	62.6265	0.906264	15.3064	1.99481	3.3946
Zosma101g00130	54.4349	122.387	62.8653	49.3864	101.645	86.0205	8.23388	0	5.7939	4.9041	9.7964	3.13548	32.3187	19.9521	11.1977	1.70922	3.25751	1.41714	129.312	0.906264	70.2295	0	1.13153
Zosma101g00140	263.329	438.601	303.849	378.846	516.939	342.081	118.568	85.8385	121.672	135.68	127.353	130.122	127.574	190.21	204.545	151.266	109.941	69.4397	191.939	37.1568	102.643	47.8755	31.683
Zosma101g00180	0	0	0	0	0	0	0	0	0	0	0	6.27096	0	771.479	612.143	1.70922	0	0	0	0.906264	0.900378	2.99222	1.13153
Zosma101g00190	675.673	419.862	732.381	697.908	609.872	436.104	251.957	198.784	315.768	269.726	225.317	232.025	617.458	699.652	628.566	382.01	495.142	320.273	557.84	343.474	451.089	322.162	394.906
Zosma101g00200	21.0935	4.68465	22.5267	66.9316	5.8083	5.3346	0	0	0	0	0	0	0	0.665068	0	0	0	0	9.85788	0	0	0	0
Zosma101g00210	195.285	89.594	236.269	391.192	135.769	77.3518	82.3388	36.1425	399.779	138.95	315.118	112.877	127.574	135.009	129.894	45.2942	108.312	7.08569	109.017	3.62505	21.6091	1.99481	7.92074
Zosma101g00220	1428.92	1130.76	461.013	547.799	762.34	944.225	27647.7	19006.5	23510.2	25019.1	7652.62	33573.1	5779.95	13.3014	8.95819	150.411	6.51503	5.66855	217.453	26.2816	971.508	34.9092	113.153
Zosma101g00230	673.632	962.696	363.047	781.735	397.869	962.229	365.584	158.124	559.112	511.661	290.627	475.025	1194.09	434.29	270.985	298.258	257.344	233.828	884.31	190.315	1869.18	149.611	109.759
Zosma101g00240	801.554	130.585	545.357	2044.99	143.756	302.072	202.553	27.1069	165.126	65.388	66.9421	56.4386	136.079	873.235	924.933	1118.68	1446.34	252.25	610.609	140.471	518.618	486.734	96.1804
Zosma101g00250	3644.42	2387.42	3739.96	5417.56	2711.03	2019.81	1263.08	176.195	621.396	549.259	444.104	368.419	1175.38	2266.55	1924.52	666.594	1437.38	89.2796	1603.36	92.4389	453.79	127.668	179.914
Zosma101g00260	1727.63	2380.39	1786.42	2204.84	3313.64	2261.21	650.477	659.601	1174.71	814.081	1244.14	733.702	3128.11	2509.3	2064.12	372.609	485.369	192.731	1515.79	200.284	674.383	156.593	135.784
Zosma101g00270	100.024	119.459	113.681	83.827	145.208	107.359	87.2791	140.052	97.0479	96.4473	97.964	128.555	154.79	103.086	102.273	188.014	176.72	202.651	111.916	144.096	114.348	140.634	105.233
Zosma101g00280	195.966	695.671	335.282	430.832	545.255	438.104	47.7565	45.1782	55.0421	140.584	101.23	73.6837	113.966	223.463	335.932	1147.74	775.288	12.7542	80.6027	1.81253	0	9.97406	2.26307
Zosma101g00290	369.477	498.915	533.832	558.846	501.692	429.436	373.818	284.623	463.512	503.488	462.064	376.257	687.198	586.59	559.887	421.322	370.542	270.673	458.101	277.317	370.956	350.09	300.988
Zosma101g00300	341.579	180.359	147.21	108.52	171.345	126.697	304.654	542.138	398.331	322.036	411.449	413.883	241.54	154.296	117.203	698.215	969.924	89.2796	188.459	146.815	453.79	152.603	700.42
Zosma101g00310	381.725	250.043	382.431	317.763	133.591	368.755	111.981	198.784	192.647	210.876	169.804	318.251	91.8532	81.1384	95.554	137.592	137.63	409.553	738.761	899.92	1369.47	403.95	2612.71
Zosma101g00320	178.955	301.574	173.404	222.889	335.43	348.083	857.97	262.033	128.914	142.219	127.353	98.7676	35.7207	25.9377	22.3955	80.3332	60.264	925.39	639.023	915.326	1209.21	1229.8	1566.04
Zosma101g00330	43.5479	61.4861	57.6266	63.0327	45.0144	44.0105	93.8662	40.6604	105.739	91.5432	88.1676	75.2515	277.261	103.086	79.8772	96.5707	106.684	55.2683	44.6504	51.657	48.6204	54.8573	23.7622
Zosma101g00340	1897.74	1302.33	686.804	707.656	1236.44	775.518	857.97	153.606	265.071	454.447	192.663	506.38	608.953	2724.12	1822.99	1687	4532.01	205.485	1450.85	223.847	1988.03	254.339	270.437
Zosma101g00350	442.964	357.79	489.826	476.319	249.031	299.405	699.88	993.92	909.643	902.355	1028.62	1011.19	595.345	468.873	400.879	469.18	561.107	446.398	408.812	435.913	415.975	572.511	311.172
Zosma101g00370	0	0	0.523878	0	0	0	3.29355	13.5535	0	0	0	6.27096	1.70099	2380.28	1588.58	578.57	1924.38	5.66855	0	5.43758	3.60151	4.98703	3.3946
Zosma101g00380	315.042	241.26	337.901	216.391	265.004	226.721	1263.08	2733.28	1749.76	2115.3	1541.3	2401.78	768.845	299.281	308.311	391.411	410.447	318.856	259.204	296.348	221.493	391.981	216.123
Zosma101g00390	238.153	432.745	269.273	256.03	376.814	381.424	23.0549	13.5535	34.7634	44.1369	35.9202	20.3806	37.4217	317.238	307.564	508.492	483.741	507.335	501.012	425.038	460.993	407.939	391.511
Zosma101g00410	29.2588	30.4502	28.2894	28.5921	23.2332	32.0076	39.5226	49.696	40.5573	22.8858	35.9202	28.2193	11.9069	16.6267	26.8746	46.1488	28.5032	179.976	61.4668	234.722	162.968	273.289	429.983
Zosma101g00430	553.875	764.184	661.658	640.074	614.228	626.149	704.82	749.958	705.408	815.716	850.654	818.36	1134.56	422.984	426.26	852.899	530.16	889.962	1005.5	706.886	939.094	790.943	905.228
Zosma101g00440	400.777	277.566	384.002	406.138	238.867	313.408	461.097	198.784	270.865	238.666	192.663	228.89	598.747	283.319	260.534	288.858	286.661	324.524	294.577	290.911	249.405	309.196	297.594
Zosma101g00450	264.69	187.972	262.987	287.221	260.648	210.05	80.692	72.2851	49.2482	68.6574	57.1457	70.5483	66.3384	150.305	144.824	169.212	122.157	225.325	184.98	229.285	138.658	206.463	190.098
Zosma101g00460	284.422	272.881	325.852	330.109	182.236	299.405	1691.24	3004.35	879.225	1087.08	700.443	1389.02	420.143	276.003	256.055	258.092	243.499	348.616	306.174	397.85	440.285	397.965	381.327
Zosma101g00470	406.22	139.368	425.913	368.449	225.072	147.368	21.4081	0	24.6241	29.4246	37.5529	26.6516	15.3089	74.4877	76.8911	78.6239	58.6352	72.274	194.258	46.2194	27.9117	54.8573	30.5514
Zosma101g00480	0	2.34233	1.57163	0	1.45208	1.33365	1.64678	0	1.44848	0	1.63273	3.13548	10.2059	540.701	512.11	37.6028	603.454	4.25141	6.37863	0.906264	9.00378	0.997406	27.1568
Zosma101g00490	504.884	555.717	442.153	650.471	460.308	507.454	505.56	311.729	838.668	557.433	700.443	492.27	472.874	506.117	595.719	734.108	710.138	838.945	522.468	1018.64	584.345	619.389	1010.46
Zosma101g00500	3956.06	900.039	6312.73	2346.51	1042.59	1301.64	116.921	108.428	111.533	106.256	55.513	59.5741	146.285	217.477	174.685	43.585	89.5816	56.6855	2489.4	84.2825	109.846	93.7562	33.946
Zosma101g00510	832.174	446.799	570.503	265.777	522.747	328.745	3585.03	3727.2	4797.35	4235.51	4875.34	3188.78	466.07	2601.75	1876.74	158.957	2269.67	498.832	2252.82	1358.49	5571.54	775.982	6602.5
Zosma101g00520	1094.82	908.237	1788.52	3861.24	1171.1	765.516	92.2195	45.1782	84.0116	235.397	75.1058	58.0064	105.461	437.615	400.879	36.7482	373.8	15.5885	1099.44	21.7503	241.301	31.917	224.044
Zosma101g00530	10.887	24.5944	16.7641	44.1879	26.1374	8.66873	27.9952	31.6247	31.8665	40.8675	32.6547	21.9484	0	0	1.49303	3.41843	1.62876	4.25141	22.6151	9.06264	69.3291	1.99481	5.65767
Zosma101g00540	440.923	193.827	297.039	259.929	193.126	216.051	17623.8	29939.6	10752	11975.8	7167.7	14526.7	2638.23	188.879	178.417	237.581	172.648	324.524	213.394	292.723	131.455	300.219	247.806
Zosma101g00550	260.607	257.656	282.894	405.489	375.362	258.728	3963.79	5710.52	2501.52	3406.72	1474.36	4519.79	1467.95	252.726	197.827	111.954	124.6	110.537	262.104	132.314	214.29	99.7406	178.782
Zosma101g00560	240.874	263.512	281.846	326.21	424.732	266.063	83.9856	76.8029	94.1509	83.3697	106.128	101.903	117.368	259.377	222.462	132.464	235.355	151.634	160.625	121.439	89.1374	121.684	69.0236
Zosma101g00570	1.36087	8.19814	3.14327	1.94946	5.08227	4.00095	4.94033	0	28.9695	31.0593	104.495	12.5419	10.2059	0	2.98606	11.1099	4.88627	698.649	30.7334	888.138	38.7162	297.227	484.297
Zosma101g00580	54.4349	93.693	68.1041	88.3757	142.303	74.0176	23.0549	9.03564	20.2787	17.9817	35.9202	15.6774	37.4217	61.1863	45.5374	17.0922	15.4732	4.25141	51.6089	20.8441	18.0076	2.99222	7.92074
Zosma101g00620	43.5479	57.387	39.8147	31.8412	43.5623	41.3432	21.4081	0	60.836	62.1186	63.6766	20.3806	18.7108	86.4589	122.429	130.755	146.588	447.815	69.0052	420.506	166.57	407.939	333.803
Zosma101g00630	303.475	311.529	348.903	417.835	233.784	278.066	126.802	112.945	172.369	124.237	156.742	155.206	107.162	337.855	344.89	215.361	195.451	223.908	281.239	173.096	194.482	191.502	193.492
Zosma101g00640	114.994	56.2158	62.3415	48.7366	116.166	53.346	161.384	239.444	228.859	261.552	148.579	255.542	51.0296	65.8418	36.5793	74.3509	86.3241	269.256	107.277	363.412	206.187	393.975	580.477
Zosma101g00650	10.887	22.8377	17.8118	18.8448	19.603	13.3365	24.7016	31.6247	15.9332	31.0593	16.3273	15.6774	22.1128	33.9185	43.2979	48.7127	46.4196	41.097	19.7158	36.2505	19.8083	40.8937	45.2614
Zosma101g00660	199.368	232.476	231.554	233.936	133.591	240.724	289.833	370.461	207.132	148.758	213.888	210.077	149.687	843.307	869.69	852.044	1294.05	1120.96	337.487	955.202	521.319	1672.65	1012.72
Zosma101g00670	1941.97	1069.27	1595.21	1661.59	967.809	902.882	1261.43	1396.01	1341.29	1438.54	1508.65	1561.47	683.796	2963.55	1967.07	1517.78	2191.49	1291.01	2086.39	1293.24	2226.63	1312.59	1636.2
Zosma101g00680	122.479	202.026	97.4413	77.9786	242.497	262.729	0	0	1.44848	3.2694	0	0	0	1.33014	0.746515	0	0	0	85.8215	0	2.70113	0	0
Zosma101g00690	4.08262	2.34233	2.61939	16.2455	10.8906	4.66778	39.5226	94.8742	217.271	96.4473	295.525	120.716	282.364	1.99521	1.49303	1.70922	1.62876	0	2142.06	1.81253	1630.58	0.997406	4.52614
Zosma101g00700	25.8566	35.7205	37.1953	33.1409	38.48	32.6745	3.29355	0	34.7634	19.6164	32.6547	10.9742	85.0493	60.5212	74.6515	5.12765	57.8209	4.25141	30.7334	3.62505	1.80076	2.99222	1.13153
Zosma101g00710	6.80436	12.2972	4.7149	10.3971	2.17811	4.00095	31.2887	103.91	43.4543	55.5798	29.3892	43.8967	27.2158	14.6315	14.1838	6.83687	11.4013	8.50282	20.2956	9.9689	27.9117	23.9377	4.52614
Zosma101g00720	2.72175	0.585581	2.61939	0	1.45208	2.00048	18.1145	27.1069	24.6241	21.2511	17.9601	15.6774	45.9266	0.665068	0	0.854608	0	1.41714	4.639	6.34385	9.00378	2.99222	1.13153
Zosma101g00730	291.227	360.133	277.131	225.488	234.51	314.742	535.202	501.478	424.403	462.62	470.227	493.838	234.736	458.897	547.942	999.892	742.713	1646.71	394.895	1830.65	537.526	1932.97	970.857
Zosma101g00740	1027.46	466.708	823.012	653.071	419.65	527.459	3188.16	7933.29	2836.12	3926.55	2321.75	5458.87	1112.44	439.61	418.795	390.556	396.602	469.072	611.189	531.07	858.06	457.809	416.405
Zosma101g00750	2343.42	1266.03	2715.26	2371.85	1814.37	1188.95	1414.58	1075.24	1193.54	1024.96	1172.3	1172.67	3551.66	2687.54	2320.17	1216.96	2088.07	2236.24	1984.91	2088.94	2086.18	1818.27	1775.38
Zosma101g00760	166.026	164.548	137.256	100.072	96.5631	250.726	202.553	140.052	282.453	232.127	292.259	156.774	108.863	34.5836	35.8327	185.45	101.797	86.4454	72.4844	52.5633	49.5208	58.847	50.9191
Zosma101g00770	315.042	292.791	238.364	160.506	249.757	572.136	867.851	637.012	357.774	506.757	506.148	567.522	678.693	201.516	274.718	1374.21	631.143	1775.67	267.322	1758.15	769.823	1774.39	1610.17
Zosma101g00780	5.44349	19.9098	5.76266	3.24911	8.71246	21.3384	80.692	63.2494	169.472	294.246	316.75	224.187	35.7207	56.5308	58.9747	49.5673	61.0784	102.034	48.1296	116.908	107.145	102.733	156.152
Zosma101g00790	197.327	165.134	155.068	133.213	217.085	138.033	197.613	81.3207	204.235	192.895	164.906	189.696	229.633	140.995	171.699	238.436	164.504	154.468	136.851	181.253	131.455	158.588	158.415
Zosma101g00800	1752.12	705.04	1879.67	891.555	733.298	642.153	438.042	370.461	661.954	425.022	623.704	417.019	1292.75	1216.41	1327.3	1258.84	1352.68	984.91	905.185	1014.11	1103.86	922.601	1679.2
Zosma101g00810	608.99	807.517	672.135	710.255	1014.28	867.54	253.604	162.641	173.817	199.433	215.521	297.87	175.201	866.584	815.195	1088.77	987.841	986.327	585.094	937.077	773.425	991.422	704.946
Zosma101g00820	2091.66	1591.02	2086.61	1942.32	1955.22	1631.72	1029.23	415.639	399.779	719.268	568.191	440.535	794.36	9961.4	7668.95	3513.29	7092.42	375.541	5094.78	790.262	9598.93	597.446	2324.17
Zosma101g00830	55.1153	197.341	84.8682	324.261	361.567	226.721	4.94033	0	10.1393	114.429	6.53094	7.8387	5.10296	430.964	362.807	63.241	334.709	1.41714	79.4429	0	66.628	1.99481	13.5784
Zosma101g00840	87.7763	49.1888	55.5311	50.6861	22.5072	37.3422	110.334	180.713	181.06	223.954	179.601	145.8	47.6276	1969.93	2654.61	2609.97	3080.79	6157.46	153.087	4003.87	1076.85	5246.36	1589.81
Zosma1020g00010	0	0	0	0	0	0	0	0	0	0	0	3.13548	0	220.138	253.815	0	352.626	0	0	0.906264	0.900378	0	0
Zosma1024g00010	66.6828	156.35	77.01	89.0255	122.7	158.038	26.3484	90.3564	37.6604	78.4656	32.6547	23.5161	423.545	73.8226	71.6655	267.492	157.175	99.1996	71.9045	89.7201	51.3215	67.8236	82.602
Zosma102g00030	521.214	621.302	547.452	501.662	863.259	641.486	70.8114	85.8385	153.538	137.315	182.866	73.6837	277.261	367.783	427.753	519.602	387.644	513.004	376.339	541.946	289.021	358.069	341.723
Zosma102g00050	261.288	365.403	243.603	279.423	365.197	326.078	176.205	149.088	363.567	220.685	311.852	255.542	1154.97	434.955	387.442	369.191	451.166	503.084	371.7	618.072	769.823	471.773	867.887
Zosma102g00060	257.205	186.215	246.746	183.25	198.208	210.717	930.428	1454.74	660.505	812.446	778.814	931.237	108.863	796.087	822.66	867.427	1181.66	1113.87	239.488	901.732	448.388	870.736	940.305
Zosma102g00070	108.87	168.062	110.538	170.903	212.003	156.037	23.0549	45.1782	56.4906	57.2145	57.1457	53.3031	192.211	51.8753	64.2003	0	2.44313	5.66855	534.065	8.15637	620.36	11.9689	153.889
Zosma102g00100	2.04131	24.5944	0.523878	0.649821	7.26038	23.3389	18.1145	0	8.69086	6.5388	0	9.40644	0	1.33014	5.22561	119.645	30.132	94.9482	40.5913	119.627	81.9344	138.639	225.175
Zosma102g00110	983.23	2328.27	180.738	129.964	815.341	1341.65	1389.88	808.689	459.167	897.451	365.732	1638.29	205.819	1932.69	1961.1	7673.53	6823.68	1966.99	490.574	2335.44	504.212	3257.53	1456.29
Zosma102g00120	266.731	306.259	270.321	228.737	264.278	308.74	589.546	307.212	459.167	371.077	542.068	415.451	454.163	190.21	218.729	369.191	272.817	483.244	256.305	396.037	279.117	518.651	454.877
Zosma102g00130	33.3414	30.4502	40.8625	24.6932	26.1374	30.0071	13.1742	4.51782	7.24238	29.4246	6.53094	23.5161	13.6079	29.9281	26.128	50.4219	36.647	41.097	35.9523	57.0946	62.1261	48.8729	45.2614
Zosma102g00140	174.192	176.846	190.692	158.556	190.222	190.712	734.462	876.457	721.341	812.446	782.08	730.567	426.947	115.722	181.403	370.045	245.942	371.29	169.903	323.536	159.367	393.975	173.125
Zosma102g00150	189.161	200.269	211.647	278.773	267.182	164.039	8.23388	9.03564	17.3817	35.9634	37.5529	10.9742	57.8335	143.655	135.866	39.312	104.24	7.08569	200.057	12.6877	90.9382	5.98444	31.683
Zosma102g00160	196.646	175.674	174.975	180.001	193.126	175.375	787.159	1039.1	885.019	742.154	791.876	854.418	692.301	273.343	265.759	388.847	346.111	473.324	151.927	467.632	331.339	486.734	440.167
Zosma102g00180	221.822	275.809	222.124	203.394	218.537	304.739	2068.35	3478.72	941.509	954.665	711.872	1390.58	222.829	631.815	763.685	541.822	673.491	785.094	336.328	643.447	520.418	876.72	436.772
Zosma102g00190	4.76305	5.27023	1.57163	4.54875	7.98642	10.0024	62.5775	54.2138	88.357	34.3287	76.7385	47.0322	479.678	3.32534	8.21167	0.854608	5.70065	0	0.579875	0	1.80076	0	0
Zosma102g00200	186.44	233.647	209.027	247.582	196.03	192.046	70.8114	40.6604	301.283	173.278	124.088	164.613	440.555	146.315	150.796	47.0034	57.0065	7.08569	187.3	8.15637	44.1185	7.97925	3.3946
Zosma102g00210	760.047	917.021	935.122	1039.06	1142.78	875.542	551.67	411.121	580.839	531.278	599.213	525.193	1270.64	1047.48	958.526	599.935	852.654	212.571	532.905	185.784	447.488	297.227	216.123
Zosma102g00240	89.8176	87.2516	160.307	89.6754	227.25	100.691	16.4678	40.6604	7.24238	11.4429	19.5928	12.5419	49.3286	79.1431	80.6237	80.3332	39.0902	45.3484	158.886	55.2821	99.9419	81.7873	23.7622
Zosma102g00250	0.680436	0	2.09551	1.29964	0.726038	2.00048	0	0	0	0	0	0	0	5.98562	3.73258	1.70922	6.51503	0	26.0944	3.62505	79.2333	0	54.3137
Zosma102g00260	280.34	350.178	306.469	317.763	458.13	411.431	75.7517	90.3564	88.357	99.7167	106.128	75.2515	221.128	214.152	214.25	193.996	151.474	410.97	368.221	380.631	397.967	462.796	407.352
Zosma103g00040	0.680436	0	0	0.649821	0	0	46.1097	13.5535	102.842	21.2511	91.4331	10.9742	789.257	0	0	0	0.814378	0	0	0.906264	0.900378	0	0
Zosma103g00060	69.4045	64.9995	57.1027	50.0362	63.8914	93.3556	123.508	99.392	175.266	85.0044	96.3313	76.8192	54.4315	24.6075	26.128	23.0744	13.8444	15.5885	26.0944	6.34385	3.60151	6.98184	2.26307
