tracking_id	root_0	root_1	root_2	root_3
Zosma104g00290	95.7699	67.9329	93.1523	120.528
Zosma104g00300	277.334	324.734	456.361	302.949
Zosma104g00310	206.171	379.976	328.17	394.973
Zosma104g00330	27.2678	29.1141	62.3864	66.779
Zosma104g00340	146.315	184.389	284.585	269.559
Zosma104g00350	990.952	1002.57	555.495	764.701
Zosma104g00360	17.2918	25.3815	47.8581	43.162
Zosma104g00370	260.707	283.676	499.091	368.913
Zosma104g00380	224.793	218.729	343.552	293.176
Zosma104g00390	12.6363	7.46515	42.7304	35.0183
Zosma104g00400	579.94	518.082	675.995	503.286
Zosma104g00410	46.5548	37.3258	8.54608	15.4732
Zosma104g00420	135.009	141.091	211.943	146.588
Zosma105g00010	136.339	161.247	164.085	183.235
Zosma105g00030	154.961	171.699	69.2233	74.1084
Zosma105g00050	546.686	530.026	0	83.0666
Zosma105g00060	488.16	531.519	1.70922	100.169
Zosma105g00130	163.607	153.782	0.854608	87.1385
Zosma105g00150	2124.23	2064.86	2162.16	2260.71
Zosma105g00160	2396.24	2129.81	1628.03	2001.74
Zosma105g00170	36.5788	34.3397	0	33.3895
Zosma105g00180	1209.09	1192.19	1116.97	1424.35
Zosma105g00190	3276.13	3280.94	5510.51	5019.83
Zosma105g00220	1365.39	1216.82	1186.2	932.463
Zosma105g00260	398.376	400.879	449.524	533.418
Zosma105g00270	131.018	149.303	217.925	100.983
Zosma105g00280	535.38	494.193	598.226	606.712
Zosma105g00290	139.664	157.515	2232.24	225.583
Zosma105g00320	31.9233	0.746515	0	37.4614
Zosma105g00360	553.337	483.742	62.3864	57.8209
Zosma105g00370	183.559	119.442	0.854608	127.857
Zosma105g00380	11080	8536.4	1980.13	5140.36
Zosma105g00390	156.291	124.668	130.755	163.69
Zosma105g00400	73.1575	82.1167	41.8758	49.6771
Zosma105g00420	115.722	85.8493	57.2587	49.6771
Zosma105g00430	117.717	104.512	162.376	130.301
Zosma105g00440	470.203	420.288	137.592	333.081
Zosma105g00450	352.486	360.567	409.357	347.74
Zosma105g00460	275.338	270.985	214.507	203.595
Zosma105g00490	364.458	350.862	272.62	350.997
