tracking_id	female_flower_early_0	female_flower_early_3	female_flower_early_1	female_flower_early_2	female_flower_late_1	female_flower_late_0
Zosma171g00330	1664.35	1584.58	1506.67	1855.24	1105.03	1835.77
Zosma171g00340	98.6633	57.9726	83.8205	77.9786	91.4808	67.3494
Zosma171g00360	8.16524	38.0628	3.14327	1.29964	21.0551	102.024
Zosma171g00370	57.8371	83.7381	61.8176	58.4839	105.276	84.02
Zosma171g00380	136.768	264.097	125.207	196.896	320.909	248.059
Zosma171g00390	2882.33	3602.5	3265.33	4431.78	4611.07	3271.45
Zosma171g00420	246.998	199.098	240.984	186.499	273.716	172.708
Zosma171g00430	95.9415	72.0265	97.9652	82.5273	89.3027	62.6816
Zosma171g00450	222.503	282.836	277.655	252.781	187.318	264.063
Zosma171g00460	328.651	352.52	389.241	395.741	290.415	320.743
Zosma171g00470	114.994	370.673	216.362	66.2818	336.156	384.758
Zosma171g00480	44.2284	69.0986	25.67	8.44768	95.111	40.6764
Zosma171g00490	99.3437	35.1349	51.8639	107.221	49.3706	49.3451
Zosma171g00500	57.1566	145.224	55.5311	72.1302	177.879	132.031
Zosma171g00510	271.494	172.747	329.519	311.914	202.565	200.714
Zosma171g00540	5873.53	6728.92	6237.29	6023.84	6701.33	7591.81
Zosma171g00560	145.613	136.44	133.065	253.43	194.578	228.054
Zosma171g00600	113.633	144.053	126.778	158.556	164.811	142.034
Zosma172g00010	3.40218	0.585581	1.57163	49.3864	0.726038	0.666826
Zosma172g00030	78.9306	69.6842	73.8668	107.221	74.0559	54.6797
Zosma172g00040	155.82	127.071	218.981	173.502	198.934	206.049
Zosma172g00050	289.185	401.123	294.943	328.16	217.811	300.071
Zosma172g00060	1420.07	991.975	789.484	340.506	513.309	1974.47
Zosma172g00120	392.612	385.898	352.046	331.409	402.951	444.773
Zosma172g00130	677.715	446.799	646.465	621.229	637.461	388.759
Zosma172g00140	219.1	173.918	235.221	251.481	152.468	234.056
Zosma172g00150	572.247	321.484	528.593	656.969	474.829	374.089
Zosma172g00180	127.242	136.44	150.877	159.856	98.7412	145.368
Zosma172g00190	87.0958	92.5219	125.731	81.2277	61.7132	97.3565
Zosma172g00200	601.506	503.014	523.878	520.507	424.006	420.1
Zosma172g00210	114.313	203.782	89.0592	50.6861	129.961	207.383
