tracking_id	male_flower_0	male_flower_1	male_flower_3	male_flower_2	male_flower_4	male_flower_6	male_flower_5
Zosma159g00420	3866.63	12591.2	1289.14	2777.36	1492.32	4490.01	1173.68
Zosma159g00430	533.555	578.281	703.959	725.807	628.603	699.212	549.418
Zosma159g00440	380.405	546.656	535.936	426.657	506.148	352.741	1561.5
Zosma159g00450	21.4081	49.696	47.7997	14.7123	45.7166	21.9484	64.6374
Zosma159g00460	184.439	144.57	220.168	230.493	179.601	274.354	35.7207
Zosma159g00470	19.7613	31.6247	18.8302	297.515	13.0619	3.13548	52.7305
Zosma159g00490	337.589	180.713	170.92	204.338	160.008	236.729	83.3483
Zosma159g00510	4046.13	4806.96	2717.34	3709.14	2907.9	4541.74	158.192
Zosma159g00520	136.682	198.784	291.144	179.817	225.317	178.722	328.29
Zosma159g00530	401.813	361.425	351.98	377.616	324.914	396.638	268.756
Zosma159g00540	291.479	329.801	641.675	536.182	504.515	551.844	147.986
Zosma15g00080	87.2791	72.2851	254.932	130.776	257.972	97.1998	62.9365
Zosma15g00090	64.2243	103.91	95.5994	67.0227	52.2475	76.8192	227.932
Zosma15g00120	11.5274	49.696	5.7939	27.7899	11.4291	17.2451	47.6276
Zosma15g00160	1388.23	2164.03	2094.5	2138.19	2352.77	1727.65	142.883
Zosma15g00170	3.29355	9.03564	4.34543	0	3.26547	3.13548	78.2453
Zosma15g00180	131.742	94.8742	55.0421	60.4839	47.3493	76.8192	171.8
Zosma15g00190	67.5178	58.7316	60.836	93.1779	73.473	70.5483	227.932
Zosma15g00200	177.852	289.14	238.999	201.068	213.888	271.219	171.8
Zosma15g00210	24.7016	76.8029	44.9028	50.6757	65.3094	67.4128	182.005
Zosma15g00230	75.7517	4.51782	2.89695	0	3.26547	1.56774	1.70099
Zosma15g00240	1215.32	1165.6	1704.86	1150.83	1572.32	1146.02	1529.19
Zosma15g00250	475.918	207.82	240.447	292.611	271.034	261.812	190.51
Zosma15g00260	72.4581	108.428	85.4601	127.507	96.3313	109.742	156.491
Zosma15g00270	4.94033	45.1782	7.24238	4.9041	19.5928	3.13548	52.7305
Zosma15g00280	820.094	704.78	715.547	680.035	662.89	587.902	180.304
Zosma15g00290	105.394	149.088	198.441	187.991	195.928	155.206	137.78
Zosma15g00300	324.415	198.784	163.678	158.566	148.579	183.426	117.368
Zosma15g00310	67.5178	67.7673	121.672	117.698	112.659	116.013	71.4414
Zosma15g00320	801.98	614.423	670.644	758.501	620.439	768.192	3087.29
Zosma15g00330	88.9259	90.3564	107.187	80.1003	71.8403	68.9805	20.4118
Zosma15g00360	217.374	194.266	207.132	171.644	210.623	253.974	253.447
Zosma15g00370	0	4.51782	10.1393	1.6347	9.7964	68.9805	52.7305
Zosma15g00380	2424.05	3013.38	1112.43	1355.17	964.946	1860.91	362.31
Zosma15g00390	44.463	13.5535	47.7997	60.4839	66.9421	40.7612	25.5148
Zosma15g00400	26.3484	13.5535	47.7997	57.2145	34.2874	34.4903	42.5246
Zosma15g00410	60.9307	1929.11	4.34543	129.141	0	311.98	0
Zosma15g00420	1523.27	2611.3	4988.55	4627.84	3503.85	5984.06	2597.4
Zosma15g00430	25498.7	32424.4	20478.6	22421.6	16822.1	29128.6	3094.09
Zosma15g00440	64.2243	72.2851	43.4543	57.2145	65.3094	86.2257	239.839
Zosma15g00450	741.049	822.243	977.721	653.88	831.062	827.766	712.713
Zosma15g00460	260.191	131.017	55.0421	85.0044	96.3313	98.7676	22.1128
Zosma15g00470	52.6968	49.696	18.8302	37.5981	29.3892	32.9225	28.9168
Zosma15g00480	95.513	45.1782	62.2845	55.5798	62.0439	48.5999	81.6473
Zosma15g00490	54.3436	94.8742	112.981	85.0044	145.313	70.5483	280.663
Zosma15g00520	801.98	1088.79	792.316	707.825	733.098	777.599	979.768
Zosma15g00530	138.329	126.499	30.418	78.4656	35.9202	79.9547	10.2059
Zosma15g00540	200.907	171.677	204.235	183.086	107.76	145.8	8.50493
Zosma15g00550	107.04	81.3207	110.084	88.2738	75.1058	68.9805	0
Zosma15g00560	579.665	777.065	695.269	441.369	1058.01	365.283	168.398
Zosma15g00570	2102.93	1106.87	1833.77	1051.11	960.048	1135.04	260.251
Zosma15g00580	6568.99	4368.73	1671.54	2193.77	831.062	2495.84	207.52
Zosma15g00590	42.8162	67.7673	21.7271	55.5798	55.513	25.0838	226.231
Zosma15g00600	260.191	284.623	815.492	541.086	945.353	482.864	3650.31
Zosma15g00610	1152.74	94.8742	139.054	107.89	57.1457	97.1998	49.3286
Zosma15g00620	367.231	388.532	392.537	354.73	334.71	401.341	216.025
Zosma15g00630	120.215	171.677	156.435	173.278	274.299	136.393	73.1424
Zosma15g00640	191.026	126.499	227.411	130.776	228.583	181.858	199.015
Zosma15g00650	220.668	234.927	152.09	176.548	160.008	169.316	391.227
Zosma15g00660	3570.21	5818.95	1717.89	2201.94	1234.35	2903.45	112.265
Zosma15g00690	77.3985	63.2494	101.393	71.9268	122.455	89.3611	81.6473
Zosma15g00700	401.813	551.174	405.573	335.114	395.122	446.806	598.747
Zosma15g00710	41.1694	49.696	34.7634	35.9634	26.1237	23.5161	113.966
Zosma15g00720	2682.6	2837.19	3337.29	2571.38	2021.32	3083.74	1947.63
Zosma15g00730	37.8758	31.6247	110.084	116.064	142.048	64.2773	20.4118
Zosma15g00740	105.394	40.6604	65.1814	107.89	88.1676	81.5224	49.3286
Zosma15g00750	429.809	266.551	320.113	325.305	484.922	305.709	911.728
Zosma15g00760	41.1694	4.51782	33.3149	58.8492	32.6547	42.329	22.1128
Zosma15g00770	47.7565	0	7.24238	1.6347	0	1.56774	5.10296
Zosma15g00780	11.5274	13.5535	31.8665	11.4429	32.6547	6.27096	8.50493
Zosma15g00790	148.21	103.91	375.155	277.899	413.082	167.748	580.036
Zosma15g00800	986.419	5317.47	101.393	40.8675	102.862	76.8192	406.535
Zosma15g00820	107.04	27.1069	211.478	160.201	186.132	92.4966	15.3089
Zosma15g00840	498.973	325.283	482.343	501.853	359.202	619.257	78.2453
Zosma15g00850	635.656	853.868	572.148	580.319	600.846	649.044	705.909
Zosma15g00860	660.357	402.086	562.009	436.465	493.086	454.644	289.168
Zosma15g00870	1009.47	1775.5	625.742	1033.13	494.718	1320.04	889.615
Zosma15g00880	166.324	257.516	165.126	215.78	186.132	183.426	209.221
Zosma15g00900	37.8758	67.7673	20.2787	47.4063	22.8583	20.3806	30.6177
Zosma15g00910	34.5823	54.2138	20.2787	31.0593	27.7565	26.6516	45.9266
Zosma15g00940	428.162	700.262	407.022	392.328	408.184	438.967	381.021
Zosma15g00950	1793.34	2276.98	2142.3	2015.59	1960.91	2116.45	2935.9
Zosma15g00960	948.543	1106.87	1173.27	1173.71	1118.42	1128.77	1697.58
Zosma15g00970	818.448	966.813	847.358	719.268	692.279	779.166	687.198
Zosma15g00980	52.6968	85.8385	46.3512	45.7716	57.1457	72.116	132.677
Zosma15g00990	102.1	67.7673	66.6299	58.8492	58.7784	166.18	85.0493
Zosma15g01000	64.2243	72.2851	60.836	63.7533	40.8184	50.1677	234.736
Zosma15g01010	1327.3	1409.56	1297.83	1384.59	1317.62	1108.39	108.863
Zosma15g01020	459.451	262.033	680.784	529.643	417.98	672.56	483.08
Zosma15g01030	164.678	167.159	259.277	186.356	212.255	192.832	195.613
Zosma15g01040	100.453	63.2494	111.533	140.584	168.172	122.284	333.393
Zosma15g01050	189.379	162.641	402.676	340.018	331.445	249.271	244.942
Zosma15g01060	345.823	564.727	308.525	438.1	341.241	374.69	309.579
Zosma15g01070	742.696	1341.79	357.774	585.223	248.176	813.657	158.192
Zosma15g01080	713.054	989.402	349.083	449.543	158.375	713.321	81.6473
Zosma15g01090	276.658	280.105	111.533	191.26	93.0658	301.006	23.8138
