tracking_id	vegetative_0	vegetative_1	vegetative_5	vegetative_4	vegetative_3	vegetative_2
Zosma4g00510	199.816	182.081	116.908	117.95	131.658	97.312
Zosma4g00550	337.279	114.815	504.789	57.6242	345.103	127.863
Zosma4g00560	517.255	183.241	580.915	236.799	543.586	366.617
Zosma4g00580	840.362	144.389	977.858	253.006	908.637	764.917
Zosma4g00590	1.41714	44.0705	6.34385	0	5.98444	0
Zosma4g00600	150.217	724.844	371.568	368.255	200.479	603.108
Zosma4g00630	838.945	463.9	792.074	596.05	933.572	664.211
Zosma4g00640	415.221	615.248	360.693	478.101	371.035	302.12
Zosma4g00670	442.147	246.447	406.912	335.841	396.968	331.54
Zosma4g00690	48.1827	20.2956	20.8441	7.20302	39.8962	7.92074
Zosma4g00730	133.211	1238.61	163.127	604.154	51.8651	78.0759
Zosma4g00750	26.9256	113.656	29.0004	37.8159	19.9481	13.5784
Zosma4g00780	2652.88	1176.57	2319.13	1405.49	2875.52	2593.48
Zosma4g00790	615.037	202.956	573.665	433.082	603.431	642.712
Zosma4g00800	848.865	589.733	739.511	662.678	887.692	827.152
Zosma4g00820	357.119	136.851	348.911	255.707	496.708	413.01
Zosma4g00830	34.0113	70.1649	41.6881	12.6053	24.9352	11.3153
Zosma4g00840	15.5885	100.898	18.1253	123.352	20.9455	327.014
Zosma4g00850	277.759	14787.4	1255.18	30575.9	236.385	65617.7
Zosma4g00860	104.868	79.4429	83.3763	27.0113	65.8288	47.5245
Zosma4g00870	1322.19	357.203	852.794	103.543	1532.02	185.572
Zosma4g00880	427.975	171.063	388.787	262.01	362.058	319.093
Zosma4g00890	41.097	10.4378	22.6566	23.4098	44.8833	12.4469
Zosma4g00900	184.228	369.96	228.378	74.7314	95.751	79.2074
Zosma4g00910	1.41714	44.0705	2.71879	0	1.99481	0
Zosma4g00930	2963.23	1855.02	2416.1	2205.93	3159.78	2173.68
Zosma4g00950	0	110.176	2.71879	3.60151	5.98444	1.13153
Zosma4g00960	4.25141	150.768	0.906264	19.8083	3.98962	3.3946
Zosma4g00970	525.758	257.465	481.226	243.102	680.231	479.771
Zosma4g00980	396.798	1631.19	321.724	1308.25	365.051	382.459
Zosma4g00990	15.5885	1348.79	9.9689	208.888	12.9663	19.2361
Zosma4g01000	432.227	453.462	421.413	441.185	437.861	414.142
Zosma4g01010	93.531	131.632	64.3447	65.7276	78.7951	44.1299
Zosma4g01050	5.66855	95.6794	0	13.5057	1.99481	0
Zosma4g01060	263.587	448.244	258.285	507.813	294.235	296.462
Zosma4g01070	42.5141	10.4378	28.0942	18.9079	23.9377	31.683
Zosma4g01080	0	48.1296	2.71879	0.900378	0	0
Zosma4g01090	22.6742	21.4554	44.4069	4.50189	18.9507	18.1046
Zosma4g01100	2124.29	178.602	3267.08	562.736	1811.29	2178.2
Zosma4g01110	53.8512	80.6027	74.3136	59.4249	67.8236	187.835
Zosma4g01120	1415.72	1035.08	1335.83	1015.63	1407.34	1170.01
Zosma4g01130	138.879	342.706	83.3763	290.822	83.7821	136.916
Zosma4g01140	287.679	702.229	373.381	725.705	342.11	749.076
Zosma4g01160	1772.84	1952.44	1877.78	2621.9	1796.33	2088.81
Zosma4g01180	2662.8	10197.1	3399.39	13141.9	2364.85	17265
Zosma4g01190	103.451	139.17	48.9382	139.559	38.8988	58.8398
Zosma4g01200	198.399	146.708	217.503	157.566	204.468	261.385
Zosma4g01210	162.971	222.092	237.441	288.121	222.422	282.884
Zosma4g01220	416.638	2855.89	346.193	1601.77	324.157	446.956
Zosma4g01250	49.5998	374.599	74.3136	85.5359	32.9144	81.4705
